sample_id,GSM,title,cell_type,hours,guide,donor,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
CART0077_RNAseq_NgsRun1_021,"""GSM8252566""","""CD8, 24h, SafeHarbor, CART0077_D2""",CD8,24,SafeHarbor,CART0077_D2,72.20839550614295,-14.05145244585446,6.240586943030539,-7.7332653417457,8.59223850405088,-5.155554071295373,4.211098298807518,-1.0901277721077858,-0.9145489752801941,-4.596802120750631,-1.773572308369513,-0.9965283901064891,-6.524165009385174,0.07815006558463715,1.1095416812997183,3.3623163878878723,0.15148245883933242,3.3871158573068954,-2.6303534422891635,4.528065132286464
CART0077_RNAseq_NgsRun1_022,"""GSM8252567""","""CD8, 24h, RHOG, CART0077_D2""",CD8,24,RHOG,CART0077_D2,73.44577009150579,-14.341901128729752,7.446106796144102,-9.88235563029503,6.776201392008323,-5.10119554685072,3.4961807488061867,-0.14766612611792987,-0.25932913708100347,-1.7918760344249427,-0.17606701535806824,1.1888703951432196,-3.6501527775715177,1.722128048468432,0.8163607008165851,-0.16674881524265284,0.7056162327408126,0.7327021829874558,-6.297845258334664,1.9902868608022348
CART0077_RNAseq_NgsRun1_023,"""GSM8252568""","""CD8, 24h, SafeHarbor, CART0077_D3""",CD8,24,SafeHarbor,CART0077_D3,78.87397022258375,-16.049823489452137,10.750145893038365,-13.898585239088732,4.242164740930347,8.749910284807227,-0.017688025629834358,1.5164910210023648,2.003670677827138,-1.4591598007879207,-0.64810841058965,1.6282788772463215,0.6699425822715609,-4.596706624940271,-0.3485599452179637,-1.3940012828584905,-1.006228416232256,7.597780120307194,0.0035792554201414376,0.8471521111149987
CART0077_RNAseq_NgsRun1_024,"""GSM8252569""","""CD8, 24h, RHOG, CART0077_D3""",CD8,24,RHOG,CART0077_D3,77.82991169506477,-15.830286885385362,9.828951645745263,-13.86559249859815,3.6800567412611773,9.100876022964119,-0.031511805451328236,1.3500228812312056,2.34881006639865,-0.3737891080980194,0.3694503477105341,1.9632095764707949,1.104534981534851,-5.338864844970003,-0.5227038688775589,-1.9296226465412236,-1.7221378142072457,5.647229041420685,-1.2194554045752837,0.9686530518785319
CART0077_RNAseq_NgsRun1_025,"""GSM8252570""","""CD4, 72h, SafeHarbor, CART0077_D1""",CD4,72,SafeHarbor,CART0077_D1,15.71350387555196,22.691584250002162,-13.8422500415643,22.436674564796583,-10.477505711637518,-15.522772935422944,-15.910469756157813,-12.253169626222768,0.18373026689998642,3.1762545499666714,1.722862945974107,1.438235176413251,2.012003202863001,-3.2453107162956165,-1.339261893675801,-0.04500556700933863,-1.8831040733528028,3.716102566333707,-4.524296093199797,1.7475393905040062
CART0077_RNAseq_NgsRun1_026,"""GSM8252571""","""CD4, 72h, RHOG, CART0077_D1""",CD4,72,RHOG,CART0077_D1,20.17432549483982,19.392334628176283,-14.199331755217562,21.736528873793965,-8.638868839162347,-14.987529563380145,-16.28653067636142,-11.895476654170773,-1.0093173268295934,2.4972413833487854,1.4103883016926753,3.495767803814661,3.7846375641825656,-2.008343730522574,0.2935527251412214,-1.9136544000336866,-2.827404813020895,-0.20194338589233396,-4.610746540053663,0.23382787221042753
CART0077_RNAseq_NgsRun1_027,"""GSM8252572""","""CD4, 72h, SafeHarbor, CART0077_D2""",CD4,72,SafeHarbor,CART0077_D2,25.889204835252926,20.9869055476275,-10.069500309991689,22.00967155573586,-9.134238672842285,-7.121410602842547,7.475567336358682,-7.269662421980894,-0.21496376912277132,0.534066120863982,2.7766209518001332,-2.254961220673625,-6.728881181749314,-1.8706037231705535,-3.886360532726035,3.670226147178193,2.4576599401499006,-0.40309192049416914,1.0426267297134622,1.9668033429826162
CART0077_RNAseq_NgsRun1_028,"""GSM8252573""","""CD4, 72h, RHOG, CART0077_D2""",CD4,72,RHOG,CART0077_D2,36.80604589369136,18.30018578551869,-8.049829985200397,21.483974152092475,-9.233032876481518,-3.636678957017394,7.46728391292978,-0.06207987438112851,-1.396475484227487,3.6601215440402877,7.717384430881228,1.7796655605572738,-2.8829867042488497,4.008700897045959,0.5077299612636055,1.3488819896750552,0.03727060185446909,-2.451397685405728,-2.005539789989776,1.3206313700437027
CART0077_RNAseq_NgsRun1_029,"""GSM8252574""","""CD4, 72h, SafeHarbor, CART0077_D3""",CD4,72,SafeHarbor,CART0077_D3,36.91748864344514,19.66264406424621,-6.846240772879184,18.531992677600552,-14.587972060032186,11.740487753783599,-3.398618443972445,-4.829261517225026,1.191513352357954,2.707112984079572,5.939196213618565,-0.7977744065706163,1.5239950023266382,4.0537972829196995,0.4942539698858294,2.0108254136865615,3.8357673527251817,3.8358402527906894,2.953428355840497,0.4471893354430941
CART0077_RNAseq_NgsRun1_030,"""GSM8252575""","""CD4, 72h, RHOG, CART0077_D3""",CD4,72,RHOG,CART0077_D3,42.542061080408494,18.89272219184378,-3.7993230262005824,14.441609070626638,-14.786973908999217,17.02976193003367,2.632417363445851,7.1474594042938,2.2226326337885673,6.20498181878913,8.261249280906776,-0.7312450609781129,4.7451283751038345,6.799274080999735,2.255430999285566,2.3479131462293754,1.5517536808111612,1.3558530496695178,1.517520066154171,0.7938312232805097
